==================== hub-database.json
      - [leaf] /数据库/学习路径/教程宪法/统一样例与课模板 | id=db-constitution | content=1503 | ok
      - [leaf] /数据库/学习路径/路线清单/初级清单 | id=db-path-junior | content=636 | ok
      - [leaf] /数据库/学习路径/路线清单/中级清单 | id=db-path-mid | content=633 | ok
      - [leaf] /数据库/学习路径/路线清单/高级清单 | id=db-path-senior | content=627 | ok
      - [leaf] /数据库/学习路径/练习场/初级练习 | id=db-drill-junior | content=1989 | ok
      - [leaf] /数据库/学习路径/练习场/中级练习 | id=db-drill-mid | content=1614 | ok
      - [leaf] /数据库/学习路径/练习场/高级练习 | id=db-drill-senior | content=1574 | ok
      - [leaf] /数据库/核心概念/负载与模型/OLTP vs OLAP | id=db-oltp-olap | content=1396 | ok
      - [leaf] /数据库/核心概念/负载与模型/ACID | id=db-acid | content=1357 | ok
      - [leaf] /数据库/核心概念/负载与模型/存储引擎直觉 | id=db-engine | content=1662 | ok
      - [leaf] /数据库/核心概念/表与约束/主键与约束 | id=db-pk-constraint | content=1800 | ok
      - [leaf] /数据库/核心概念/表与约束/类型与精度 | id=db-datatypes | content=1619 | ok
      - [leaf] /数据库/核心概念/表与约束/外键取舍 | id=db-fk-tradeoff | content=1778 | ok
      - [leaf] /数据库/核心概念/持久化与并发内核/WAL 与持久化 | id=db-wal | content=1605 | ok
      - [leaf] /数据库/核心概念/持久化与并发内核/MVCC 直觉 | id=db-mvcc | content=1260 | ok
      - [leaf] /数据库/核心概念/持久化与并发内核/缓冲池与脏页 | id=db-buffer-pool | content=1641 | ok
      - [leaf] /数据库/索引与访问路径/索引/BTree 索引入门 | id=db-btree-index | content=1343 | ok
      - [leaf] /数据库/索引与访问路径/索引/EXPLAIN 直觉 | id=db-explain-intro | content=1668 | ok
      - [leaf] /数据库/索引与访问路径/索引/覆盖索引 | id=db-covering-index | content=1654 | ok
      - [leaf] /数据库/索引与访问路径/索引/索引失效常见因 | id=db-index-fail | content=1709 | ok
      - [leaf] /数据库/索引与访问路径/索引/统计信息直觉 | id=db-stats | content=1556 | ok
      - [leaf] /数据库/事务与并发/事务基础/事务边界 | id=db-begin-commit | content=1603 | ok
      - [leaf] /数据库/事务与并发/事务基础/隔离级别要点 | id=db-isolation-brief | content=1821 | ok
      - [leaf] /数据库/事务与并发/事务基础/脏读不可重复读幻读 | id=db-anomaly-reads | content=1755 | ok
      - [leaf] /数据库/事务与并发/锁/行锁与死锁 | id=db-row-lock | content=1713 | ok
      - [leaf] /数据库/高可用与运维/复制与备份/复制与读写分离 | id=db-replication | content=1608 | ok
      - [leaf] /数据库/高可用与运维/复制与备份/备份与恢复 | id=db-backup | content=1720 | ok
      - [leaf] /数据库/高可用与运维/引擎方言/MySQL 与 PostgreSQL | id=db-mysql-pg | content=1849 | ok
      - [leaf] /数据库/高可用与运维/容量与结构/连接池直觉 | id=db-connection-pool | content=1688 | ok
      - [leaf] /数据库/高可用与运维/容量与结构/分区表直觉 | id=db-partition-table | content=1672 | ok
      - [leaf] /数据库/多引擎选型/典型引擎/Redis 缓存/键值 | id=db-redis | content=1598 | ok
      - [leaf] /数据库/多引擎选型/典型引擎/文档模型直觉 | id=db-mongo | content=1685 | ok
      - [leaf] /数据库/多引擎选型/典型引擎/列存 OLAP 直觉 | id=db-clickhouse | content=1612 | ok
      - [leaf] /数据库/多引擎选型/典型引擎/Elasticsearch 检索 | id=db-elasticsearch | content=1665 | ok
      - [leaf] /数据库/多引擎选型/典型引擎/向量检索直觉 | id=db-vector | content=1679 | ok

==================== hub-dwh.json
      - [leaf] /数据仓库/学习路径/教程宪法/统一样例与课模板 | id=dwh-constitution | content=1434 | ok
      - [leaf] /数据仓库/学习路径/路线清单/初级清单 | id=dwh-path-junior | content=752 | ok
      - [leaf] /数据仓库/学习路径/路线清单/中级清单 | id=dwh-path-mid | content=805 | ok
      - [leaf] /数据仓库/学习路径/路线清单/高级清单 | id=dwh-path-senior | content=768 | ok
      - [leaf] /数据仓库/学习路径/练习场/初级练习 | id=dwh-drill-junior | content=1702 | ok
      - [leaf] /数据仓库/学习路径/练习场/中级练习 | id=dwh-drill-mid | content=1641 | ok
      - [leaf] /数据仓库/仓是什么/定位与边界/仓是干什么的 | id=dwh-what | content=1488 | ok
      - [leaf] /数据仓库/仓是什么/定位与边界/SSOT 单一事实来源 | id=dwh-ssot | content=1532 | ok
      - [leaf] /数据仓库/仓是什么/主题域与集市/主题域 | id=dwh-subject-domain | content=1048 | ok
      - [leaf] /数据仓库/仓是什么/主题域与集市/集市 vs 仓库 | id=dwh-mart-vs-wh | content=1092 | ok
      - [leaf] /数据仓库/数仓分层/层级职责/ODS 贴源 | id=dwh-ods | content=1648 | ok
      - [leaf] /数据仓库/数仓分层/层级职责/DWD 明细 | id=dwh-dwd | content=1562 | ok
      - [leaf] /数据仓库/数仓分层/层级职责/DWS 汇总 | id=dwh-dws | content=1526 | ok
      - [leaf] /数据仓库/数仓分层/层级职责/ADS 应用 | id=dwh-ads | content=1487 | ok
      - [leaf] /数据仓库/维度建模/粒度与总线/事实粒度 | id=dwh-grain | content=1539 | ok
      - [leaf] /数据仓库/维度建模/粒度与总线/总线矩阵 | id=dwh-bus-matrix | content=1486 | ok
      - [leaf] /数据仓库/维度建模/模型形态/星型模型 | id=dwh-star-schema | content=1679 | ok
      - [leaf] /数据仓库/维度建模/模型形态/雪花模型 | id=dwh-snowflake | content=1836 | ok
      - [leaf] /数据仓库/维度建模/模型形态/星系/星座模型 | id=dwh-constellation | content=1771 | ok
      - [leaf] /数据仓库/维度建模/模型形态/何时用星型/雪花/星系 | id=dwh-schema-choose | content=1441 | ok
      - [leaf] /数据仓库/维度建模/模型形态/Kimball 与 Inmon | id=dwh-kimball-inmon | content=1571 | ok
      - [leaf] /数据仓库/维度建模/模型形态/Data Vault 直觉 | id=dwh-datavault | content=1672 | ok
      - [leaf] /数据仓库/维度建模/星型构件/事实表 | id=dwh-fact | content=1401 | ok
      - [leaf] /数据仓库/维度建模/星型构件/维度表 | id=dwh-dim | content=1432 | ok
      - [leaf] /数据仓库/维度建模/星型构件/代理键 | id=dwh-surrogate-key | content=1508 | ok
      - [leaf] /数据仓库/维度建模/星型构件/事实类型 | id=dwh-fact-types | content=1011 | ok
      - [leaf] /数据仓库/维度建模/星型构件/宽表 vs 指标下沉 | id=dwh-wide-vs-metric | content=1035 | ok
      - [leaf] /数据仓库/维度建模/星型构件/一致性维度 | id=dwh-conformed-dim | content=958 | ok
      - [leaf] /数据仓库/维度建模/缓慢变化维/SCD1 覆盖 | id=dwh-scd1 | content=1326 | ok
      - [leaf] /数据仓库/维度建模/缓慢变化维/SCD2 拉链表 | id=dwh-scd2 | content=1748 | ok
      - [leaf] /数据仓库/维度建模/缓慢变化维/SCD3 保留前值 | id=dwh-scd3 | content=984 | ok
      - [leaf] /数据仓库/加工与质量/调度与回刷/调度依赖 | id=dwh-schedule | content=981 | ok
      - [leaf] /数据仓库/加工与质量/调度与回刷/装载顺序 | id=dwh-load-order | content=1004 | ok
      - [leaf] /数据仓库/加工与质量/调度与回刷/回刷历史 | id=dwh-backfill | content=964 | ok
      - [leaf] /数据仓库/加工与质量/增量与分区/增量策略 | id=dwh-incremental | content=1567 | ok
      - [leaf] /数据仓库/加工与质量/增量与分区/分区与裁剪 | id=dwh-partition | content=1428 | ok
      - [leaf] /数据仓库/加工与质量/质量与对账/对账质检 | id=dwh-reconcile | content=1670 | ok

==================== hub-etl.json
      - [leaf] /ETL/学习路径/教程宪法/统一样例与课模板 | id=etl-constitution | content=1431 | ok
      - [leaf] /ETL/学习路径/路线清单/初级清单 | id=etl-path-junior | content=796 | ok
      - [leaf] /ETL/学习路径/路线清单/中级清单 | id=etl-path-mid | content=826 | ok
      - [leaf] /ETL/学习路径/路线清单/高级清单 | id=etl-path-senior | content=808 | ok
      - [leaf] /ETL/学习路径/练习场/初级练习 | id=etl-drill-junior | content=1554 | ok
      - [leaf] /ETL/学习路径/练习场/中级练习 | id=etl-drill-mid | content=1284 | ok
      - [leaf] /ETL/学习路径/练习场/高级练习 | id=etl-drill-senior | content=1501 | ok
      - [leaf] /ETL/认源与契约/源表清单/源表清单 | id=etl-source-list | content=1451 | ok
      - [leaf] /ETL/认源与契约/源表清单/主键与水位 | id=etl-keys-watermark | content=1429 | ok
      - [leaf] /ETL/认源与契约/契约与 SLA/数据契约 | id=etl-data-contract | content=1452 | ok
      - [leaf] /ETL/认源与契约/契约与 SLA/产出 SLA | id=etl-sla | content=1321 | ok
      - [leaf] /ETL/抽取 Extract/抽取策略/全量快照 | id=etl-full-snapshot | content=1242 | ok
      - [leaf] /ETL/抽取 Extract/抽取策略/增量抽取 | id=etl-incr | content=1251 | ok
      - [leaf] /ETL/抽取 Extract/抽取策略/CDC 变更捕获 | id=etl-cdc | content=1455 | ok
      - [leaf] /ETL/转换 Transform/清洗与标准化/类型与空值 | id=etl-type-normalize | content=1311 | ok
      - [leaf] /ETL/转换 Transform/清洗与标准化/去重取最新 | id=etl-dedup | content=1404 | ok
      - [leaf] /ETL/转换 Transform/关联与历史/维表关联 | id=etl-dim-join | content=1379 | ok
      - [leaf] /ETL/转换 Transform/关联与历史/SCD 拉链 | id=etl-scd | content=1344 | ok
      - [leaf] /ETL/转换 Transform/关联与历史/脱敏与合规 | id=etl-pii-mask | content=1272 | ok
      - [leaf] /ETL/装载 Load/写入模式/分区覆盖 | id=etl-overwrite | content=1428 | ok
      - [leaf] /ETL/装载 Load/写入模式/MERGE/Upsert | id=etl-merge-upsert | content=1626 | ok
      - [leaf] /ETL/装载 Load/写入模式/幂等写入 | id=etl-idempotent-write | content=1301 | ok
      - [leaf] /ETL/质量门禁/校验清单/行数与波动 | id=etl-rowcount | content=1247 | ok
      - [leaf] /ETL/质量门禁/校验清单/主键唯一 | id=etl-unique-pk | content=1223 | ok
      - [leaf] /ETL/质量门禁/校验清单/源仓对账 | id=etl-recon | content=1419 | ok
      - [leaf] /ETL/调度与运维/编排基础/DAG 依赖 | id=etl-dag | content=1309 | ok
      - [leaf] /ETL/调度与运维/编排基础/重试与告警 | id=etl-retry-alert | content=1226 | ok
      - [leaf] /ETL/调度与运维/编排基础/回填 Backfill | id=etl-backfill | content=1288 | ok
      - [leaf] /ETL/调度与运维/编排基础/迟到数据 | id=etl-late-data | content=1342 | ok
      - [leaf] /ETL/ETL vs ELT/形态对比/经典 ETL | id=etl-classic | content=1362 | ok
      - [leaf] /ETL/ETL vs ELT/形态对比/现代 ELT | id=etl-modern-elt | content=1381 | ok
      - [leaf] /ETL/工具选型/选型地图/编排 Airflow | id=etl-tool-airflow | content=1300 | ok
      - [leaf] /ETL/工具选型/选型地图/变换 dbt | id=etl-tool-dbt | content=1400 | ok
      - [leaf] /ETL/工具选型/选型地图/同步与 CDC 工具 | id=etl-tool-ingest | content=1374 | ok
      - [leaf] /ETL/工具选型/选型地图/DataX 批同步 | id=etl-tool-datax | content=1553 | ok
      - [leaf] /ETL/工具选型/选型地图/Airbyte 连接器 | id=etl-tool-airbyte | content=1522 | ok
      - [leaf] /ETL/工具选型/选型地图/Flink CDC | id=etl-tool-flink-cdc | content=1467 | ok
      - [leaf] /ETL/血缘与发布/治理动作/数据血缘 | id=etl-lineage | content=1529 | ok
      - [leaf] /ETL/血缘与发布/治理动作/发布与回滚 | id=etl-publish | content=1592 | ok

==================== hub-ml.json
      - [leaf] /机器学习/算法/基础范式/学习范式/监督学习 | id=ml-supervised | content=1448 | ok
